method,parameter_name,parameter_days,level_one_half_life_days,order,fitted_feature_count,selected_ridge_penalty,validation_rmse_mw,feature_construction_seconds
Fading Memory Signature,level_one_1pct_horizon_days,26,3.913389943631755,6,120,10000.0,3310.3643301019692,0.32080449999921257
Fading Memory Signature,level_one_1pct_horizon_days,27,4.063904941463746,6,120,10000.0,3314.2628422654143,0.3000145830010297
Fading Memory Signature,level_one_1pct_horizon_days,28,4.214419939295736,6,120,10000.0,3317.664622895819,0.32234874999994645
Fading Memory Signature,level_one_1pct_horizon_days,29,4.364934937127727,6,120,10000.0,3320.523412186508,0.3072724170051515
Fading Memory Signature,level_one_1pct_horizon_days,30,4.515449934959717,6,120,100000.0,3319.348067410724,0.3057373749979888
Fading Memory Signature,level_one_1pct_horizon_days,31,4.6659649327917085,6,120,100000.0,3317.54887001221,0.3049323329978506
Fading Memory Signature,level_one_1pct_horizon_days,32,4.816479930623698,6,120,100000.0,3315.80098714035,0.3080360410021967
Fading Memory Signature,level_one_1pct_horizon_days,33,4.966994928455689,6,120,100000.0,3314.097702407169,0.3006052089986042
Fading Memory Signature,level_one_1pct_horizon_days,34,5.1175099262876795,6,120,100000.0,3312.431397684294,0.2998414999965462
Fading Memory Signature,level_one_1pct_horizon_days,35,5.26802492411967,6,120,100000.0,3310.7941537652555,0.31006129200250143
Fading Memory Signature,level_one_1pct_horizon_days,36,5.418539921951661,6,120,100000.0,3309.178213086919,0.3063687919930089
Fading Memory Signature,level_one_1pct_horizon_days,37,5.569054919783651,6,120,100000.0,3307.5763280186025,0.3030741249967832
